ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.42579,0.11909,0.18613,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.33120,0.21644,0.26179,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.31117,0.24718,0.27551,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.31083,0.24718,0.27537,4

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.63915,0.16587,0.26339,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.48796,0.32493,0.39010,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.44496,0.39170,0.41663,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.44496,0.39170,0.41663,4

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.18122,0.05023,0.07866,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.14657,0.10725,0.12387,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.14144,0.13730,0.13934,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.14144,0.13294,0.13706,4

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.26208,0.08049,0.12316,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.19572,0.16386,0.17838,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.17810,0.19832,0.18766,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.17976,0.18855,0.18405,4

