ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.52255,0.15579,0.24002,3
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.40960,0.23770,0.30083,3
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.40273,0.25676,0.31359,3
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.40497,0.25826,0.31539,3

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.70216,0.18098,0.28779,3
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.56472,0.34715,0.42998,3
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.53833,0.38216,0.44700,3
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.53833,0.38216,0.44700,3

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.32645,0.09023,0.14138,3
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.23175,0.15838,0.18816,3
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.21964,0.16770,0.19018,3
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.21827,0.17197,0.19238,3

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.34772,0.10438,0.16056,3
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.25341,0.19422,0.21990,3
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.24193,0.20123,0.21971,3
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.23975,0.21184,0.22493,3

