ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.48039,0.18351,0.26557,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.30023,0.21217,0.24864,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.26539,0.21509,0.23761,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.26781,0.21698,0.23973,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.68072,0.23909,0.35389,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.50447,0.37803,0.43219,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.45349,0.40828,0.42970,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.45349,0.40828,0.42970,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.22347,0.07512,0.11244,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.11453,0.08491,0.09752,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.10747,0.09201,0.09914,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.10747,0.09572,0.10125,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.33420,0.10741,0.16257,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.21239,0.15621,0.18002,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.19462,0.16096,0.17620,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.19243,0.17005,0.18054,2

