ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.49291,0.23874,0.32168,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.41875,0.30717,0.35438,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.37294,0.30769,0.33719,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.37760,0.31154,0.34140,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.67581,0.32189,0.43608,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.58526,0.44772,0.50733,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.52457,0.47309,0.49750,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.52457,0.47309,0.49750,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.28549,0.12991,0.17857,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.24455,0.18617,0.21140,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.19654,0.16908,0.18178,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.19654,0.17544,0.18539,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.36861,0.15975,0.22290,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.31131,0.23499,0.26781,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.27587,0.22763,0.24944,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.27075,0.23935,0.25408,2

