ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.37866,0.39177,0.38511,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.67364,0.28098,0.39655,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.41213,0.35949,0.38402,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.38285,0.39610,0.38936,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.51003,0.51341,0.51172,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.78869,0.26187,0.39319,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.55756,0.43478,0.48858,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.51003,0.51341,0.51172,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.21553,0.20703,0.21120,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.47545,0.14936,0.22731,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.24902,0.19287,0.21738,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.21283,0.21390,0.21336,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.27176,0.24860,0.25966,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.53141,0.15734,0.24279,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.30623,0.23472,0.26575,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.26783,0.26770,0.26777,2

