ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.34024,0.25817,0.29358,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.30356,0.26705,0.28414,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.30139,0.26515,0.28211,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.51850,0.19852,0.28711,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.46383,0.38163,0.41873,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.39935,0.40443,0.40187,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.39935,0.40443,0.40187,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.65714,0.22218,0.33208,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.13791,0.10603,0.11989,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.09329,0.08824,0.09069,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.09329,0.08456,0.08871,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.30343,0.09188,0.14105,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.22449,0.16705,0.19155,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.17747,0.16292,0.16989,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.18360,0.15504,0.16812,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.38395,0.10876,0.16950,2

