ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.47144,0.35846,0.40726,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.48390,0.36765,0.41784,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.50473,0.35959,0.41997,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.97921,0.21962,0.35877,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.56862,0.46514,0.51170,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.56862,0.46514,0.51170,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.59627,0.42600,0.49695,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.96982,0.13415,0.23570,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.23560,0.17120,0.19830,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.23560,0.17640,0.20175,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.28075,0.18776,0.22502,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.96082,0.12090,0.21478,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.32784,0.22332,0.26567,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.32515,0.23485,0.27272,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.36487,0.23408,0.28520,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.93109,0.10912,0.19534,2

