ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.30634,0.29079,0.29836,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.61974,0.17497,0.27289,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.33059,0.27574,0.30068,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.29533,0.28033,0.28764,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.48177,0.44018,0.46004,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.75836,0.15228,0.25363,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.52850,0.41154,0.46274,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.48177,0.44018,0.46004,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.12932,0.11596,0.12227,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.30503,0.05789,0.09731,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.13905,0.10638,0.12054,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.13069,0.11298,0.12119,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.22032,0.18961,0.20381,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.41958,0.07446,0.12648,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.24341,0.17903,0.20631,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.22479,0.17940,0.19955,2

