ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.46940,0.41875,0.44263,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.49506,0.38828,0.43522,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.72615,0.28324,0.40752,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.47160,0.42083,0.44477,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.54087,0.50000,0.51963,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.58261,0.43866,0.50049,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.80032,0.24676,0.37722,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.54087,0.50000,0.51963,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.26382,0.24103,0.25191,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.27906,0.20729,0.23788,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.43093,0.12634,0.19539,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.26382,0.23267,0.24727,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.30542,0.27361,0.28864,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.33038,0.24036,0.27827,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.49132,0.13741,0.21476,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.30605,0.25822,0.28011,2

