ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.39784,0.36145,0.37877,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.38903,0.35341,0.37037,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.40874,0.33394,0.36757,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.69749,0.28417,0.40382,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.46623,0.46620,0.46621,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.46623,0.46620,0.46621,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.51170,0.42212,0.46261,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.77911,0.24888,0.37725,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.20737,0.19764,0.20239,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.20737,0.18875,0.19762,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.22523,0.17672,0.19805,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.49646,0.14480,0.22421,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.26530,0.25147,0.25820,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.26561,0.23036,0.24673,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.28733,0.22421,0.25188,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.53859,0.15026,0.23497,2

