ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.37005,0.31568,0.34071,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.39741,0.28169,0.32969,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.37500,0.31992,0.34527,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.64338,0.25195,0.36210,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.46468,0.40413,0.43229,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.51021,0.35397,0.41796,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.46468,0.40413,0.43229,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.74405,0.22997,0.35134,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.18996,0.15658,0.17166,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.20736,0.14223,0.16873,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.18823,0.16253,0.17444,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.38955,0.11325,0.17549,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.23585,0.19173,0.21151,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.25090,0.17495,0.20615,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.23054,0.20343,0.21614,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.44300,0.12676,0.19712,2

