ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.45774,0.42169,0.43897,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.60700,0.35406,0.44725,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.50573,0.42029,0.45907,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.46208,0.42570,0.44315,2

ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.57406,0.55196,0.56279,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.72424,0.38457,0.50237,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.63594,0.50380,0.56221,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.57406,0.55196,0.56279,2

ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.26091,0.25062,0.25566,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.38323,0.20109,0.26378,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.30618,0.25214,0.27654,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.26091,0.26036,0.26064,2

ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.31959,0.30065,0.30983,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,0.43019,0.21987,0.29101,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.36290,0.30292,0.33021,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.31666,0.32045,0.31855,2

